Accession,Source Name,Sample Name,Characteristics: Seed Source,Factor Value: Spaceflight,Factor Value: Ecotype,Characteristics: genotype,Characteristics: Material Type,Parameter Value: Hardware,Parameter Value: growth environment,Parameter Value: Growth Medium,Parameter Value: light source,Parameter Value: Sample storage temperature,Parameter Value: Age at sample collection,Parameter Value: Sample Preservation Method,Comment: Original Submitted Sample Name,
GLDS-37,Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1,Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-B1,
GLDS-37,Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4,Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-B4,
GLDS-37,Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1,Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-A1,
GLDS-37,Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4,Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-A4,
GLDS-37,Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1,Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-B1,
GLDS-37,Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4,Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-B4,
GLDS-38,Group-1.Subject-1,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS-US Laboratory,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-1.Subject-1.seedlings.Pooled,Space FlightGroup-1.Subject-1.seedlings.Pooled
GLDS-38,Group-1.Subject-2,Atha_WT-Col-0_sl_FLT_Rep2_G1S2,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS-US Laboratory,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-1.Subject-2.seedlings.Pooled,Space FlightGroup-1.Subject-2.seedlings.Pooled
GLDS-38,Group-1.Subject-3,Atha_WT-Col-0_sl_FLT_Rep3_G1S3,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS-US Laboratory,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-1.Subject-3.seedlings.Pooled,Space FlightGroup-1.Subject-3.seedlings.Pooled
GLDS-38,Group-2.Subject-1,Atha_WT-Col-0_sl_GC_Rep1_G2S1,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Ground ControlGroup-2.Subject-1.seedlings.Pooled,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-2.Subject-1.seedlings.Pooled,Ground ControlGroup-2.Subject-1.seedlings.Pooled
GLDS-38,Group-2.Subject-2,Atha_WT-Col-0_sl_GC_Rep2_G2S2,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Ground ControlGroup-2.Subject-2.seedlings.Pooled,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-2.Subject-2.seedlings.Pooled,Ground ControlGroup-2.Subject-2.seedlings.Pooled
GLDS-38,Group-2.Subject-3,Atha_WT-Col-0_sl_GC_Rep3_G2S3,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Ground ControlGroup-2.Subject-3.seedlings.Pooled,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-2.Subject-3.seedlings.Pooled,Ground ControlGroup-2.Subject-3.seedlings.Pooled
GLDS-38,rl-1,Atha_WT-Col-0_sl_RNAlat_Rep1_rl1,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,rl-1-seedlings,Ground Control_rl-1-seedlings
GLDS-38,rl-2,Atha_WT-Col-0_sl_RNAlat_Rep2_rl2,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,rl-2-seedlings,Ground Control_rl-2-seedlings
GLDS-38,rl-3,Atha_WT-Col-0_sl_RNAlat_Rep3_rl3,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,rl-3--seedlings,Ground Control_rl-3--seedlings
GLDS-38,n2-1,Atha_WT-Col-0_sl_LN2_Rep1_n2-1,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,Liquid Nitrogen,n2-1-seedlings,Ground Control_n2-1-seedlings
GLDS-38,n2-2,Atha_WT-Col-0_sl_LN2_Rep2_n2-2,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,Liquid Nitrogen,n2-2-seedlings,Ground Control_n2-2-seedlings
GLDS-38,n2-3,Atha_WT-Col-0_sl_LN2_Rep3_n2-3,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,Liquid Nitrogen,n2-3-seedlings,Ground Control_n2-3-seedlings
GLDS-38,Group-1.Subject-1,Atha_WT-Col-0_sl_FLT_Rep1_G1S1_membrane,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS-US Laboratory,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-1.Subject-1.seedlings.Pooled,Space FlightGroup-1.Subject-1.seedlings.Pooled
GLDS-38,Group-1.Subject-2,Atha_WT-Col-0_sl_FLT_Rep2_G1S2_membrane,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS-US Laboratory,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-1.Subject-2.seedlings.Pooled,Space FlightGroup-1.Subject-2.seedlings.Pooled
GLDS-38,Group-1.Subject-3,Atha_WT-Col-0_sl_FLT_Rep3_G1S3_membrane,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS-US Laboratory,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-1.Subject-3.seedlings.Pooled,Space FlightGroup-1.Subject-3.seedlings.Pooled
GLDS-38,Group-2.Subject-1,Atha_WT-Col-0_sl_GC_Rep1_G2S1_membrane,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-2.Subject-1.seedlings.Pooled,Ground ControlGroup-2.Subject-1.seedlings.Pooled
GLDS-38,Group-2.Subject-2,Atha_WT-Col-0_sl_GC_Rep2_G2S2_membrane,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-2.Subject-2.seedlings.Pooled,Ground ControlGroup-2.Subject-2.seedlings.Pooled
GLDS-38,Group-2.Subject-3,Atha_WT-Col-0_sl_GC_Rep3_G2S3_membrane,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-2.Subject-3.seedlings.Pooled,Ground ControlGroup-2.Subject-3.seedlings.Pooled
GLDS-38,Group-1.Subject-1,Atha_WT-Col-0_sl_FLT_Rep1_G1S1_soluble,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS-US Laboratory,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-1.Subject-1.seedlings.Pooled,Space FlightGroup-1.Subject-1.seedlings.Pooled
GLDS-38,Group-1.Subject-2,Atha_WT-Col-0_sl_FLT_Rep2_G1S2_soluble,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS-US Laboratory,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-1.Subject-2.seedlings.Pooled,Space FlightGroup-1.Subject-2.seedlings.Pooled
GLDS-38,Group-1.Subject-3,Atha_WT-Col-0_sl_FLT_Rep3_G1S3_soluble,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS-US Laboratory,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-1.Subject-3.seedlings.Pooled,Space FlightGroup-1.Subject-3.seedlings.Pooled
GLDS-38,Group-2.Subject-1,Atha_WT-Col-0_sl_GC_Rep1_G2S1_soluble,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-2.Subject-1.seedlings.Pooled,Ground ControlGroup-2.Subject-1.seedlings.Pooled
GLDS-38,Group-2.Subject-2,Atha_WT-Col-0_sl_GC_Rep2_G2S2_soluble,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-2.Subject-2.seedlings.Pooled,Ground ControlGroup-2.Subject-2.seedlings.Pooled
GLDS-38,Group-2.Subject-3,Atha_WT-Col-0_sl_GC_Rep3_G2S3_soluble,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-2.Subject-3.seedlings.Pooled,Ground ControlGroup-2.Subject-3.seedlings.Pooled
GLDS-38,rl-1,Atha_WT-Col-0_sl_RNAlat_Rep1_rl1_membrane,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Earth surface,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,rl-1-seedlings,Ground Control_rl-1-seedlings
GLDS-38,rl-2,Atha_WT-Col-0_sl_RNAlat_Rep2_rl2_membrane,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Earth surface,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,rl-2-seedlings,Ground Control_rl-2-seedlings
GLDS-38,rl-3,Atha_WT-Col-0_sl_RNAlat_Rep3_rl3_membrane,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Earth surface,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,rl-3--seedlings,Ground Control_rl-3--seedlings
GLDS-38,n2-1,Atha_WT-Col-0_sl_LN2_Rep1_n2-1_membrane,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Earth surface,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,Liquid Nitrogen,n2-1-seedlings,Ground Control_n2-1-seedlings
GLDS-38,n2-2,Atha_WT-Col-0_sl_LN2_Rep2_n2-2_membrane,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Earth surface,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,Liquid Nitrogen,n2-2-seedlings,Ground Control_n2-2-seedlings
GLDS-38,n2-3,Atha_WT-Col-0_sl_LN2_Rep3_n2-3_membrane,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Earth surface,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,Liquid Nitrogen,n2-3-seedlings,Ground Control_n2-3-seedlings
GLDS-38,rl-1,Atha_WT-Col-0_sl_RNAlat_Rep1_rl1_soluble,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Earth surface,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,rl-1-seedlings,Ground Control_rl-1-seedlings
GLDS-38,rl-2,Atha_WT-Col-0_sl_RNAlat_Rep2_rl2_soluble,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Earth surface,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,rl-2-seedlings,Ground Control_rl-2-seedlings
GLDS-38,rl-3,Atha_WT-Col-0_sl_RNAlat_Rep3_rl3_soluble,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Earth surface,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,rl-3--seedlings,Ground Control_rl-3--seedlings
GLDS-38,n2-1,Atha_WT-Col-0_sl_LN2_Rep1_n2-1_soluble,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Earth surface,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,Liquid Nitrogen,n2-1-seedlings,Ground Control_n2-1-seedlings
GLDS-38,n2-2,Atha_WT-Col-0_sl_LN2_Rep2_n2-2_soluble,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Earth surface,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,Liquid Nitrogen,n2-2-seedlings,Ground Control_n2-2-seedlings
GLDS-38,n2-3,Atha_WT-Col-0_sl_LN2_Rep3_n2-3_soluble,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Ground Control,Col-0,Wild Type,Seedling,BRIC-PDFU,Earth surface,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,Liquid Nitrogen,n2-3-seedlings,Ground Control_n2-3-seedlings
GLDS-120,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day06,Not Available,Ground Control,Col-0,Wild Type,Plant Roots,ambient light,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,6 day,RNALater,,
GLDS-120,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day09,Not Available,Ground Control,Col-0,Wild Type,Plant Roots,ambient light,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,9 day,RNALater,,
GLDS-120,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day13,Not Available,Ground Control,Col-0,Wild Type,Plant Roots,ambient light,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day03,Not Available,Ground Control,Col-0,Wild Type,Plant Roots,ambient light,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,3 day,RNALater,,
GLDS-120,Atha_Col-0_root_GC_Alight_Rep2_GSM2493760,Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day06,Not Available,Ground Control,Col-0,Wild Type,Plant Roots,ambient light,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,6 day,RNALater,,
GLDS-120,Atha_Col-0_root_GC_Alight_Rep2_GSM2493760,Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day09,Not Available,Ground Control,Col-0,Wild Type,Plant Roots,ambient light,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,9 day,RNALater,,
GLDS-120,Atha_Col-0_root_GC_Alight_Rep2_GSM2493760,Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day13,Not Available,Ground Control,Col-0,Wild Type,Plant Roots,ambient light,ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,13 day,RNALater,,
