Accession,Source Name,Sample Name,Characteristics: Seed Source,Factor Value: Spaceflight,Factor Value: Ecotype,Characteristics: genotype,Characteristics: Material Type,Parameter Value: Hardware,Parameter Value: growth environment,Parameter Value: Growth Medium,Parameter Value: light source,Parameter Value: Sample storage temperature,Parameter Value: Age at sample collection,Parameter Value: Sample Preservation Method,Comment: Original Submitted Sample Name,
GLDS-120,Atha_Ws_root_FLT_Alight_Rep2_GSM2493781,Atha_Ws_root_FLT_Alight_Rep2_GSM2493781_Day03,Not Available,Space Flight,Wassilewskija ecotype,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,3 day,RNALater,,
GLDS-120,Atha_Ws_root_FLT_Alight_Rep2_GSM2493781,Atha_Ws_root_FLT_Alight_Rep2_GSM2493781_Day06,Not Available,Space Flight,Wassilewskija ecotype,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,6 day,RNALater,,
GLDS-120,Atha_Ws_root_FLT_Alight_Rep2_GSM2493781,Atha_Ws_root_FLT_Alight_Rep2_GSM2493781_Day09,Not Available,Space Flight,Wassilewskija ecotype,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,9 day,RNALater,,
GLDS-120,Atha_Ws_root_FLT_Alight_Rep2_GSM2493781,Atha_Ws_root_FLT_Alight_Rep2_GSM2493781_Day13,Not Available,Space Flight,Wassilewskija ecotype,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Ws_root_FLT_Alight_Rep3_GSM2493782,Atha_Ws_root_FLT_Alight_Rep3_GSM2493782_Day03,Not Available,Space Flight,Wassilewskija ecotype,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,3 day,RNALater,,
GLDS-120,Atha_Ws_root_FLT_Alight_Rep3_GSM2493782,Atha_Ws_root_FLT_Alight_Rep3_GSM2493782_Day06,Not Available,Space Flight,Wassilewskija ecotype,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,6 day,RNALater,,
GLDS-120,Atha_Ws_root_FLT_Alight_Rep3_GSM2493782,Atha_Ws_root_FLT_Alight_Rep3_GSM2493782_Day09,Not Available,Space Flight,Wassilewskija ecotype,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,9 day,RNALater,,
GLDS-120,Atha_Ws_root_FLT_Alight_Rep3_GSM2493782,Atha_Ws_root_FLT_Alight_Rep3_GSM2493782_Day13,Not Available,Space Flight,Wassilewskija ecotype,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783,Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day06,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,6 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783,Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day09,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,9 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783,Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day13,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783,Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day03,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,3 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784,Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day13,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784,Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day03,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,3 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784,Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day06,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,6 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784,Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day09,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,9 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785,Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785_Day03,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,3 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785,Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785_Day06,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,6 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785,Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785_Day13,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Wild Type,Plant Roots,ambient light,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Col-0_root_FLT_dark_Rep1_GSM2493786,Atha_Col-0_root_FLT_dark_Rep1_GSM2493786_Day13,Not Available,Space Flight,Col-0,Wild Type,Plant Roots,Not Applicable,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Col-0_root_FLT_dark_Rep2_GSM2493787,Atha_Col-0_root_FLT_dark_Rep2_GSM2493787_Day13,Not Available,Space Flight,Col-0,Wild Type,Plant Roots,Not Applicable,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Col-0_root_FLT_dark_Rep3_GSM2493788,Atha_Col-0_root_FLT_dark_Rep3_GSM2493788_Day13,Not Available,Space Flight,Col-0,Wild Type,Plant Roots,Not Applicable,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Ws_root_FLT_dark_Rep1_GSM2493789,Atha_Ws_root_FLT_dark_Rep1_GSM2493789_Day13,Not Available,Space Flight,Wassilewskija ecotype,Wild Type,Plant Roots,Not Applicable,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Ws_root_FLT_dark_Rep2_GSM2493790,Atha_Ws_root_FLT_dark_Rep2_GSM2493790_Day13,Not Available,Space Flight,Wassilewskija ecotype,Wild Type,Plant Roots,Not Applicable,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Ws_root_FLT_dark_Rep3_GSM2493791,Atha_Ws_root_FLT_dark_Rep3_GSM2493791_Day13,Not Available,Space Flight,Wassilewskija ecotype,Wild Type,Plant Roots,Not Applicable,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792,Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792_Day13,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Col-0 PhyD,Plant Roots,Not Applicable,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_dark_Rep2_GSM2493793,Atha_Col-0-PhyD_root_FLT_dark_Rep2_GSM2493793_Day13,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Col-0 PhyD,Plant Roots,Not Applicable,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Col-0-PhyD_root_FLT_dark_Rep3_GSM2493794,Atha_Col-0-PhyD_root_FLT_dark_Rep3_GSM2493794_Day13,Arabidopsis Biological Resource Center SALK_027956C,Space Flight,Col-0 PhyD,Col-0 PhyD,Plant Roots,Not Applicable,ISS-Columbus,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-120,Atha_Col-0_root_GC_Alight_Rep3_GSM2493761,Atha_Col-0_root_GC_Alight_Rep3_GSM2493761_Day13,Not Available,Ground Control,Col-0,Wild Type,Plant Roots,ambient light,Earth surface,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Light Treatment,-80 degree Celsius,13 day,RNALater,,
GLDS-217,GSM2517002,GSM2517002,ABRC stock CS915 (www.arabidopsis.org),Ground Control,Wassilewskija ecotype,Wild Type,root,Vegetable Production System (VEGGIE),ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Ground Control, Root Rep. 1 [BS]",
GLDS-217,GSM2517003,GSM2517003,ABRC stock CS915 (www.arabidopsis.org),Ground Control,Wassilewskija ecotype,Wild Type,root,Vegetable Production System (VEGGIE),ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Ground Control, Root Rep. 2 [BS]",
GLDS-217,GSM2517004,GSM2517004,ABRC stock CS915 (www.arabidopsis.org),Ground Control,Wassilewskija ecotype,Wild Type,root,Vegetable Production System (VEGGIE),ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Ground Control, Root Rep. 3 [BS]",
GLDS-217,GSM2517005,GSM2517005,ABRC stock CS915 (www.arabidopsis.org),Space Flight,Wassilewskija ecotype,Wild Type,root,Vegetable Production System (VEGGIE),ISS,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Spaceflight, Root Rep. 1 [BS]",
GLDS-217,GSM2517006,GSM2517006,ABRC stock CS915 (www.arabidopsis.org),Space Flight,Wassilewskija ecotype,Wild Type,root,Vegetable Production System (VEGGIE),ISS,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Spaceflight, Root Rep. 2 [BS]",
GLDS-217,GSM2517007,GSM2517007,ABRC stock CS915 (www.arabidopsis.org),Space Flight,Wassilewskija ecotype,Wild Type,root,Vegetable Production System (VEGGIE),ISS,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Spaceflight, Root Rep. 3 [BS]",
GLDS-217,GSM2517008,GSM2517008,ABRC stock CS915 (www.arabidopsis.org),Ground Control,Wassilewskija ecotype,Wild Type,leaf,Vegetable Production System (VEGGIE),ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Ground Control, Leaf Rep. 1 [BS]",
GLDS-217,GSM2517009,GSM2517009,ABRC stock CS915 (www.arabidopsis.org),Ground Control,Wassilewskija ecotype,Wild Type,leaf,Vegetable Production System (VEGGIE),ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Ground Control, Leaf Rep. 2 [BS]",
GLDS-217,GSM2517010,GSM2517010,ABRC stock CS915 (www.arabidopsis.org),Ground Control,Wassilewskija ecotype,Wild Type,leaf,Vegetable Production System (VEGGIE),ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Ground Control, Leaf Rep. 3 [BS]",
GLDS-217,GSM2517011,GSM2517011,ABRC stock CS915 (www.arabidopsis.org),Space Flight,Wassilewskija ecotype,Wild Type,leaf,Vegetable Production System (VEGGIE),ISS,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Spaceflight, Leaf Rep. 1 [BS]",
GLDS-217,GSM2517012,GSM2517012,ABRC stock CS915 (www.arabidopsis.org),Space Flight,Wassilewskija ecotype,Wild Type,leaf,Vegetable Production System (VEGGIE),ISS,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Spaceflight, Leaf Rep. 2 [BS]",
GLDS-217,GSM2517013,GSM2517013,ABRC stock CS915 (www.arabidopsis.org),Space Flight,Wassilewskija ecotype,Wild Type,leaf,Vegetable Production System (VEGGIE),ISS,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Spaceflight, Leaf Rep. 3 [BS]",
GLDS-217,Atha_Ws_root_GC_Rep1,Atha_Ws_root_GC_Rep1,ABRC stock CS915 (www.arabidopsis.org),Ground Control,Wassilewskija ecotype,Wild Type,root,Vegetable Production System (VEGGIE),ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Ground Control, Root Rep. 1",
GLDS-217,Atha_Ws_root_GC_Rep2,Atha_Ws_root_GC_Rep2,ABRC stock CS915 (www.arabidopsis.org),Ground Control,Wassilewskija ecotype,Wild Type,root,Vegetable Production System (VEGGIE),ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Ground Control, Root Rep. 2",
GLDS-217,Atha_Ws_root_GC_Rep3,Atha_Ws_root_GC_Rep3,ABRC stock CS915 (www.arabidopsis.org),Ground Control,Wassilewskija ecotype,Wild Type,root,Vegetable Production System (VEGGIE),ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Ground Control, Root Rep. 3",
GLDS-217,Atha_Ws_root_FLT_Rep1,Atha_Ws_root_FLT_Rep1,ABRC stock CS915 (www.arabidopsis.org),Space Flight,Wassilewskija ecotype,Wild Type,root,Vegetable Production System (VEGGIE),ISS,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Spaceflight, Root Rep. 1",
GLDS-217,Atha_Ws_root_FLT_Rep2,Atha_Ws_root_FLT_Rep2,ABRC stock CS915 (www.arabidopsis.org),Space Flight,Wassilewskija ecotype,Wild Type,root,Vegetable Production System (VEGGIE),ISS,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Spaceflight, Root Rep. 2",
GLDS-217,Atha_Ws_root_FLT_Rep3,Atha_Ws_root_FLT_Rep3,ABRC stock CS915 (www.arabidopsis.org),Space Flight,Wassilewskija ecotype,Wild Type,root,Vegetable Production System (VEGGIE),ISS,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Spaceflight, Root Rep. 3",
GLDS-217,Atha_Ws_leaf_GC_Rep1,Atha_Ws_leaf_GC_Rep1,ABRC stock CS915 (www.arabidopsis.org),Ground Control,Wassilewskija ecotype,Wild Type,leaf,Vegetable Production System (VEGGIE),ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Ground Control, Leaf Rep. 1",
GLDS-217,Atha_Ws_leaf_GC_Rep2,Atha_Ws_leaf_GC_Rep2,ABRC stock CS915 (www.arabidopsis.org),Ground Control,Wassilewskija ecotype,Wild Type,leaf,Vegetable Production System (VEGGIE),ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Ground Control, Leaf Rep. 2",
GLDS-217,Atha_Ws_leaf_GC_Rep3,Atha_Ws_leaf_GC_Rep3,ABRC stock CS915 (www.arabidopsis.org),Ground Control,Wassilewskija ecotype,Wild Type,leaf,Vegetable Production System (VEGGIE),ISS Environmental Simulator,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Ground Control, Leaf Rep. 3",
GLDS-217,Atha_Ws_leaf_FLT_Rep1,Atha_Ws_leaf_FLT_Rep1,ABRC stock CS915 (www.arabidopsis.org),Space Flight,Wassilewskija ecotype,Wild Type,leaf,Vegetable Production System (VEGGIE),ISS,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Spaceflight, Leaf Rep. 1",
GLDS-217,Atha_Ws_leaf_FLT_Rep2,Atha_Ws_leaf_FLT_Rep2,ABRC stock CS915 (www.arabidopsis.org),Space Flight,Wassilewskija ecotype,Wild Type,leaf,Vegetable Production System (VEGGIE),ISS,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Spaceflight, Leaf Rep. 2",
GLDS-217,Atha_Ws_leaf_FLT_Rep3,Atha_Ws_leaf_FLT_Rep3,ABRC stock CS915 (www.arabidopsis.org),Space Flight,Wassilewskija ecotype,Wild Type,leaf,Vegetable Production System (VEGGIE),ISS,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,100-135 micromoles/m^2/s_LED,-80 degree Celsius,11 day,RNAlater,"Spaceflight, Leaf Rep. 3",
